Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
8.69E+05,5.41E+00,4.04E-01,5.42E+00,4.28E+00,1.84E-01,-1.38E-02,1.84E-01,-4.28E+00
6.89E+05,5.45E+00,1.15E-01,5.46E+00,1.21E+00,1.83E-01,-3.86E-03,1.83E-01,-1.21E+00
5.47E+05,5.51E+00,1.40E-01,5.51E+00,-1.46E+00,1.81E-01,4.61E-03,1.81E-01,1.46E+00
4.34E+05,5.57E+00,3.87E-01,5.58E+00,-3.98E+00,1.79E-01,1.24E-02,1.79E-01,3.98E+00
3.44E+05,5.62E+00,6.35E-01,5.66E+00,-6.44E+00,1.76E-01,1.98E-02,1.77E-01,6.44E+00
2.73E+05,5.68E+00,9.05E-01,5.76E+00,-9.04E+00,1.72E-01,2.73E-02,1.74E-01,9.04E+00
2.16E+05,5.75E+00,1.20E+00,5.88E+00,-1.18E+01,1.67E-01,3.48E-02,1.70E-01,1.18E+01
1.72E+05,5.84E+00,1.54E+00,6.04E+00,-1.48E+01,1.60E-01,4.23E-02,1.66E-01,1.48E+01
1.36E+05,5.95E+00,1.95E+00,6.26E+00,-1.82E+01,1.52E-01,4.98E-02,1.60E-01,1.82E+01
1.08E+05,6.08E+00,2.43E+00,6.55E+00,-2.18E+01,1.42E-01,5.66E-02,1.53E-01,2.18E+01
8.56E+04,6.27E+00,2.99E+00,6.95E+00,-2.55E+01,1.30E-01,6.20E-02,1.44E-01,2.55E+01
6.79E+04,6.51E+00,3.66E+00,7.47E+00,-2.94E+01,1.17E-01,6.56E-02,1.34E-01,2.94E+01
5.39E+04,6.84E+00,4.45E+00,8.16E+00,-3.31E+01,1.03E-01,6.69E-02,1.23E-01,3.31E+01
4.27E+04,7.27E+00,5.38E+00,9.04E+00,-3.65E+01,8.89E-02,6.57E-02,1.11E-01,3.65E+01
3.39E+04,7.83E+00,6.44E+00,1.01E+01,-3.95E+01,7.62E-02,6.27E-02,9.87E-02,3.95E+01
2.69E+04,8.56E+00,7.68E+00,1.15E+01,-4.19E+01,6.47E-02,5.81E-02,8.70E-02,4.19E+01
2.13E+04,9.50E+00,9.06E+00,1.31E+01,-4.36E+01,5.51E-02,5.26E-02,7.61E-02,4.36E+01
1.69E+04,1.07E+01,1.06E+01,1.50E+01,-4.47E+01,4.72E-02,4.68E-02,6.65E-02,4.47E+01
1.34E+04,1.22E+01,1.23E+01,1.73E+01,-4.52E+01,4.08E-02,4.10E-02,5.79E-02,4.52E+01
1.06E+04,1.40E+01,1.40E+01,1.98E+01,-4.50E+01,3.57E-02,3.58E-02,5.05E-02,4.50E+01
8.50E+03,1.61E+01,1.57E+01,2.25E+01,-4.43E+01,3.18E-02,3.10E-02,4.44E-02,4.43E+01
6.83E+03,1.85E+01,1.74E+01,2.54E+01,-4.33E+01,2.87E-02,2.70E-02,3.94E-02,4.33E+01
5.42E+03,2.14E+01,1.92E+01,2.88E+01,-4.18E+01,2.59E-02,2.32E-02,3.48E-02,4.18E+01
4.21E+03,2.51E+01,2.09E+01,3.27E+01,-3.98E+01,2.35E-02,1.96E-02,3.06E-02,3.98E+01
3.34E+03,2.88E+01,2.23E+01,3.64E+01,-3.77E+01,2.17E-02,1.68E-02,2.75E-02,3.77E+01
2.65E+03,3.29E+01,2.35E+01,4.04E+01,-3.55E+01,2.01E-02,1.44E-02,2.47E-02,3.55E+01
2.10E+03,3.72E+01,2.42E+01,4.44E+01,-3.30E+01,1.89E-02,1.23E-02,2.25E-02,3.30E+01
1.66E+03,4.17E+01,2.45E+01,4.83E+01,-3.05E+01,1.78E-02,1.05E-02,2.07E-02,3.05E+01
1.32E+03,4.61E+01,2.44E+01,5.22E+01,-2.78E+01,1.69E-02,8.95E-03,1.92E-02,2.78E+01
1.05E+03,5.04E+01,2.37E+01,5.58E+01,-2.52E+01,1.62E-02,7.64E-03,1.79E-02,2.52E+01
8.30E+02,5.45E+01,2.28E+01,5.91E+01,-2.27E+01,1.56E-02,6.52E-03,1.69E-02,2.27E+01
6.59E+02,5.83E+01,2.16E+01,6.22E+01,-2.03E+01,1.51E-02,5.58E-03,1.61E-02,2.03E+01
5.22E+02,6.18E+01,2.01E+01,6.50E+01,-1.80E+01,1.46E-02,4.76E-03,1.54E-02,1.80E+01
4.14E+02,6.48E+01,1.85E+01,6.74E+01,-1.60E+01,1.43E-02,4.08E-03,1.48E-02,1.60E+01
